granularity,scope,method,threshold,n_components,n_heads,n_mlps,n_edges,n_paths,F,faithfulness,rel_gap,incompleteness_mean,incompleteness_max,completeness,head_precision,head_recall,head_f1
edge,attention,random,1.1807672055499936,28,16,12,488,0,0.045710645616054535,-0.0038677806616603866,0.9855762353209622,0.9952937311276685,1.0042410788994836,0.004706268872331498,0.1875,0.11538461538461539,0.14285714285714285
edge,attention,tree,2.0,17,5,12,251,11,0.5664945840835571,0.1635128297604361,0.8212454787577788,0.8714274207423891,2.1568444119357477,0.1285725792576109,1.0,0.19230769230769232,0.3225806451612903
edge,attention,random,2.0,25,13,12,413,0,0.11207673698663712,0.017462364268740375,0.9646347484595164,0.9828503237116409,0.9836643287877738,0.01714967628835906,0.07692307692307693,0.038461538461538464,0.05128205128205128
node,all,ground truth,,26,26,0,990,0,0.1520393043756485,0.030306383504990857,0.9520247609999026,0.4890117825821312,1.4944462745639262,0.5109882174178688,1.0,1.0,1.0
node,all,full model,,156,144,12,32491,0,3.1691203117370605,1.0,0.0,0.0,0.0,1.0,0.18055555555555555,1.0,0.3058823529411765
node,all,empty,,0,0,0,0,0,0.05774476379156113,0.0,0.9817789297624014,,,,0.0,0.0,0.0
node,attention,ground truth,,38,26,12,1770,0,4.365400314331055,1.3844858919020304,0.3774801474603179,0.2190150780424039,0.4323081428031444,0.7809849219575962,1.0,1.0,1.0
node,attention,full model,,156,144,12,32491,0,3.1691203117370605,1.0,0.0,0.0,0.0,1.0,0.18055555555555555,1.0,0.3058823529411765
node,attention,empty,,12,0,12,90,0,0.08041790127754211,0.007287174799889551,0.9746245350863744,,,,0.0,0.0,0.0
edge,all,ground truth,,26,26,0,990,0,0.1520395129919052,0.030306450554517184,0.9520246951720904,0.5483605188710927,1.7480457176333193,0.4516394811289073,1.0,1.0,1.0
edge,all,full model,,156,144,12,32491,0,3.1691203117370605,1.0,0.0,0.0,0.0,1.0,0.18055555555555555,1.0,0.3058823529411765
edge,all,empty,,0,0,0,0,0,0.057744480669498444,-9.099578572893792e-08,0.9817790191001466,,,,0.0,0.0,0.0
edge,attention,ground truth,,38,26,12,1770,0,4.365400314331055,1.3844858919020304,0.3774801474603179,0.2218301114571221,0.4153571030114224,0.7781698885428779,1.0,1.0,1.0
edge,attention,full model,,156,144,12,32491,0,3.1691203117370605,1.0,0.0,0.0,0.0,1.0,0.18055555555555555,1.0,0.3058823529411765
edge,attention,empty,,12,0,12,90,0,0.08041775226593018,0.007287126907370747,0.9746245821062403,,,,0.0,0.0,0.0
