candidate,parent,depth,isolated,joint,ratio,iso_admits,joint_admits
m1,a8.h6,3,0.00023698806762695312,4.9591064453125e-05,4.778846153846154,False,False
m3,a8.h6,3,0.0001277923583984375,-0.000240325927734375,0.5317460317460317,False,False
m1,a5.h5,3,0.04704093933105469,0.00070953369140625,66.29838709677419,False,False
m1,a3.h0,3,0.027081727981567383,-0.013532638549804688,2.001215644820296,False,False
m1,a5.h5,3,0.0001437664031982422,-3.0517578125e-05,4.7109375,False,False
m1,a3.h0,3,-0.0008647441864013672,-0.000514984130859375,1.6791666666666667,False,False
m3,m7,3,-0.0016131401062011719,-0.0002288818359375,7.047916666666667,False,False
m1,a5.h5,3,-0.00026345252990722656,-0.000194549560546875,1.3541666666666667,False,False
m1,a5.h5,3,0.0011181831359863281,0.003082275390625,0.36277846534653463,False,False
m1,a5.h5,3,0.011966705322265625,0.0020599365234375,5.809259259259259,False,False
m1,a3.h0,3,0.014360904693603516,-0.0016422271728515625,8.744773519163763,False,False
m1,a5.h5,3,-9.5367431640625e-06,-1.9073486328125e-05,0.5,False,False
m1,a3.h0,3,0.0005886554718017578,-0.0001544952392578125,3.810185185185185,False,False
m1,a8.h6,3,0.005678653717041016,0.0064487457275390625,0.8805826678497486,False,False
m3,a8.h6,3,0.009136676788330078,0.009479522705078125,0.9638329979879275,False,False
m1,a8.h6,3,7.43865966796875e-05,0.0001316070556640625,0.5652173913043478,False,False
m3,a8.h6,3,0.0003368854522705078,0.0001163482666015625,2.8954918032786887,False,False
m1,a8.h6,3,0.00012373924255371094,1.9073486328125e-05,6.4875,False,False
m3,a8.h6,3,0.00015234947204589844,-7.05718994140625e-05,2.1587837837837838,False,False
m1,a8.h6,3,0.003613710403442383,0.000194549560546875,18.574754901960784,False,False
m3,a8.h6,3,0.006422758102416992,0.001506805419921875,4.2625,False,False
m1,m5,3,-0.017813444137573242,0.002506256103515625,7.107591324200913,False,False
m2,m5,3,-0.009672880172729492,0.0010223388671875,9.46152052238806,False,False
m3,m5,3,-0.008340835571289062,-0.005523681640625,1.5100138121546962,False,False
m4,m5,3,-0.018712997436523438,0.002834320068359375,6.602288021534321,False,False
m1,a5.h5,3,-0.00010704994201660156,3.814697265625e-06,28.0625,False,False
m1,a5.h5,3,-0.0029785633087158203,0.0055522918701171875,0.5364565441429062,False,False
m1,a6.h9,3,-0.005106687545776367,0.008005142211914062,0.6379258994519895,False,False
m2,a6.h9,3,-0.004494905471801758,0.010732650756835938,0.4188066465256798,False,False
m4,a6.h9,3,-0.006489992141723633,0.009609222412109375,0.6753920206431123,False,False
m1,a6.h9,3,-5.841255187988281e-05,3.814697265625e-06,15.3125,False,False
m2,a6.h9,3,-1.4781951904296875e-05,1.52587890625e-05,0.96875,False,False
m4,a6.h9,3,3.314018249511719e-05,-1.1444091796875e-05,2.8958333333333335,False,False
m1,a8.h6,3,0.0033943653106689453,0.0032482147216796875,1.0449941280093953,False,False
m3,a8.h6,3,0.0043487548828125,0.003620147705078125,1.2012644889357218,False,False
m1,a8.h6,3,-0.0001518726348876953,4.57763671875e-05,3.3177083333333335,False,False
m3,a8.h6,3,0.00025916099548339844,0.0001125335693359375,2.3029661016949152,False,False
m1,a8.h6,3,-0.00022125244140625,-1.9073486328125e-06,116.0,False,False
m3,a8.h6,3,0.0003437995910644531,3.814697265625e-06,90.125,False,False
m1,a8.h6,3,0.003522634506225586,-4.9591064453125e-05,71.03365384615384,False,False
m3,a8.h6,3,0.0050084590911865234,-0.0002346038818359375,21.348577235772357,False,False
m1,a8.h6,3,-0.0001437664031982422,8.0108642578125e-05,1.7946428571428572,False,False
m3,a8.h6,3,0.0002377033233642578,9.1552734375e-05,2.5963541666666665,False,False
m1,a8.h6,3,0.006426572799682617,0.004535675048828125,1.4168944491169049,False,False
m3,a8.h6,3,0.0026466846466064453,0.003021240234375,0.8760258838383839,False,False
m1,a8.h6,3,0.0016667842864990234,0.003238677978515625,0.5146495877502945,False,False
m3,a8.h6,3,0.002290010452270508,0.0045757293701171875,0.5004689453939142,False,False
m1,a8.h6,3,-6.604194641113281e-05,-6.67572021484375e-05,0.9892857142857143,False,False
m3,a8.h6,3,0.00017714500427246094,0.0001316070556640625,1.3460144927536233,False,False
m1,a5.h5,3,-2.47955322265625e-05,-8.392333984375e-05,0.29545454545454547,False,False
m1,a5.h5,3,0.0003345012664794922,0.00403594970703125,0.08288043478260869,False,False
m1,a5.h5,3,6.4373016357421875e-06,-1.33514404296875e-05,0.48214285714285715,False,False
m1,a5.h5,3,0.002316713333129883,0.0015468597412109375,1.4976880394574599,False,False
m1,a5.h5,3,8.58306884765625e-05,-5.7220458984375e-06,15.0,False,False
m1,a5.h5,3,0.011945724487304688,0.0009212493896484375,12.96687370600414,False,False
m1,a8.h6,3,0.003541231155395508,0.0053043365478515625,0.6676105717367853,False,False
m3,a8.h6,3,0.0033414363861083984,0.00612640380859375,0.5454156288916563,False,False
m1,a8.h6,3,2.09808349609375e-05,2.47955322265625e-05,0.8461538461538461,False,False
m3,a8.h6,3,0.0001468658447265625,0.00019073486328125,0.77,False,False
m1,a8.h6,3,0.0011365413665771484,0.003536224365234375,0.3213996763754045,False,False
m3,a8.h6,3,0.0013492107391357422,0.0061187744140625,0.2205034289276808,False,False
m1,a8.h6,3,2.86102294921875e-05,-5.7220458984375e-06,5.0,False,False
m3,a8.h6,3,2.1696090698242188e-05,9.918212890625e-05,0.21875,False,False
m1,a5.h5,3,3.4809112548828125e-05,-1.71661376953125e-05,2.0277777777777777,False,False
m1,a5.h5,3,0.012214422225952148,-0.0030651092529296875,3.9849875544492845,False,False
m1,a5.h5,3,-5.4836273193359375e-05,-3.814697265625e-05,1.4375,False,False
m1,a5.h5,3,0.005325794219970703,0.004673004150390625,1.1396938775510204,False,False
m1,a5.h5,3,0.0001323223114013672,-2.09808349609375e-05,6.306818181818182,False,False
m1,a5.h5,3,0.03138232231140137,-0.0019016265869140625,16.50288365095286,False,False
m1,a8.h6,3,-0.0035572052001953125,-0.001018524169921875,3.49250936329588,False,False
m3,a8.h6,3,-0.0049495697021484375,-0.005001068115234375,0.9897025171624714,False,False
m1,a8.h6,3,9.036064147949219e-05,-6.866455078125e-05,1.3159722222222223,False,False
m3,a8.h6,3,-0.0002772808074951172,8.58306884765625e-05,3.2305555555555556,False,False
m1,a8.h6,3,0.0017025470733642578,-0.00675201416015625,0.2521539548022599,False,False
m3,a8.h6,3,0.0015799999237060547,-0.0030059814453125,0.525618654822335,False,False
m1,a8.h6,3,5.602836608886719e-05,9.34600830078125e-05,0.5994897959183674,False,False
m3,a8.h6,3,1.1205673217773438e-05,-0.0002613067626953125,0.04288321167883212,False,False
m1,a5.h5,3,-5.7220458984375e-06,-4.9591064453125e-05,0.11538461538461539,False,False
m1,a5.h5,3,0.016016006469726562,0.00396728515625,4.037019230769231,False,False
m1,a5.h5,3,0.0002827644348144531,-2.86102294921875e-05,9.883333333333333,False,False
m1,a5.h5,3,0.07273221015930176,-0.0053157806396484375,13.682319698600645,True,False
m1,a3.h0,3,-0.0003261566162109375,0.000751495361328125,0.434010152284264,False,False
m1,a3.h0,3,0.006880521774291992,0.01735687255859375,0.39641483516483517,False,False
m3,m7,3,0.020145893096923828,-0.0079803466796875,2.5244383365200767,False,False
m1,a5.h5,3,-9.942054748535156e-05,-8.96453857421875e-05,1.1090425531914894,False,False
