model,modality,pos,strategy,hyperparam,faith_all,faith_attn,%nodes,%heads,%mlps,comps,heads,mlps,paths,time_s,TO,peak_mb,search_mb
gpt2-small,pap,pos,Threshold,min_contribution=0.1,-0.18562711178614086,0.15899111321089504,7.051282051282051,6.25,16.666666666666668,11,9,2,21.0,5.8862645626068115,False,1997.04345703125,91.15869140625
gpt2-small,pap,pos,Threshold,min_contribution=0.02,0.8962714327741809,0.9177050702929709,35.8974358974359,31.944444444444443,83.33333333333333,56,46,10,1100.0,58.7180335521698,False,2005.57861328125,99.69384765625
gpt2-small,pmp,pos,BestFirstSearch,top_n=100,0.0875780642451656,0.2503647808133103,14.743589743589743,11.805555555555555,50.0,23,17,6,100.0,733.6021199226379,False,1907.5634765625,1.6787109375
gpt2-small,pmp,pos,BestFirstSearch,top_n=1000,0.8065060814343051,0.8196102350104398,33.97435897435897,29.86111111111111,83.33333333333333,53,43,10,1000.0,3503.9371621608734,False,1908.0029296875,2.1181640625
gpt2-small,pmp,pos,LimitedLevelWidth,max_width=100,0.43644632694128926,0.4722694225946872,34.61538461538461,29.86111111111111,91.66666666666667,54,43,11,1048.0,573.1683254241943,False,1908.02587890625,2.14111328125
gpt2-small,pmp,pos,LimitedLevelWidth,max_width=1000,0.9691665862255016,0.9691665862255016,95.51282051282051,95.13888888888889,100.0,149,137,12,3519.0,3600.3428435325623,True,1909.23291015625,3.34814453125
gpt2-small,pmp,pos,Threshold,min_contribution=0.5,,,0.0,0.0,0.0,0,0,0,0.0,37.10883355140686,False,1906.93798828125,1.05322265625
gpt2-small,pmp,pos,Threshold,min_contribution=0.1,-0.1896098230749333,0.3416166355508729,8.333333333333334,7.638888888888889,16.666666666666668,13,11,2,30.0,423.22545766830444,False,1907.60546875,1.720703125
gpt2-small,pmp,pos,Threshold,min_contribution=0.02,0.9366569813859418,0.9514398749294735,33.333333333333336,29.166666666666668,83.33333333333333,52,42,10,518.0,3600.7858951091766,True,1908.97900390625,3.09423828125
gpt2-small,pmp_batched,pos,BestFirstSearch,top_n=100,0.12334775628349648,0.2655848522187537,14.102564102564102,11.11111111111111,50.0,22,16,6,100.0,70.19919037818909,False,1898.90625,1.771484375
gpt2-small,pmp_batched,pos,BestFirstSearch,top_n=1000,0.8807584020454365,0.8938988158128639,35.256410256410255,31.25,83.33333333333333,55,45,10,1000.0,424.19395685195923,False,1899.34326171875,2.20849609375
gpt2-small,pmp_batched,pos,LimitedLevelWidth,max_width=100,0.516676029086429,0.5564120598271779,35.256410256410255,30.555555555555557,91.66666666666667,55,44,11,1051.0,94.44944357872009,False,1908.0859375,2.201171875
gpt2-small,pmp_batched,pos,LimitedLevelWidth,max_width=1000,0.9738588687576765,0.9738588687576765,96.15384615384616,95.83333333333333,100.0,150,138,12,13011.0,1197.4844374656677,False,1905.17626953125,1155.54150390625
gpt2-small,pmp_batched,pos,Threshold,min_contribution=0.5,,,0.0,0.0,0.0,0,0,0,0.0,0.6278533935546875,False,1898.18212890625,1.04736328125
